time_ms,V_mV,m,h,n,I_inj_uA_per_cm2
2.3000000000000003,-64.99385648064246,0.05296843438729045,0.596089925205158,0.31769694044174634,0.0
2.31,-64.99384271044147,0.05296853598139904,0.5960897090818721,0.3176970762416676,0.0
2.32,-64.9938290428935,0.05296863691694107,0.5960894926467478,0.31769721217944974,0.0
2.33,-64.99381547784203,0.052968737194660935,0.5960892759043679,0.3176973482519579,0.0
2.34,-64.99380201512932,0.05296883681531273,0.596089058859303,0.31769748445606727,0.0
2.35,-64.9937886545963,0.052968935779660206,0.5960888415161122,0.31769762078866326,0.0
2.36,-64.99377539608265,0.05296903408847666,0.5960886238793425,0.31769775724664145,0.0
2.37,-64.9937622394268,0.052969131742544896,0.596088405953529,0.3176978938269076,0.0
2.38,-64.9937491844659,0.052969228742657144,0.5960881877431949,0.31769803052637763,0.0
2.39,-64.99373623103587,0.052969325089615,0.5960879692528516,0.31769816734197776,0.0
2.4,-64.9937233789714,0.05296942078422936,0.5960877504869981,0.3176983042706443,0.0
2.41,-64.99371062810594,0.052969515827320346,0.5960875314501216,0.31769844130932406,0.0
2.42,-64.99369797827173,0.05296961021971726,0.596087312146697,0.31769857845497385,0.0
2.43,-64.99368542929977,0.052969703962258495,0.5960870925811872,0.3176987157045609,0.0
2.44,-64.99367298101988,0.05296979705579149,0.5960868727580428,0.31769885305506274,0.0
2.45,-64.99366063326069,0.052969889501172665,0.5960866526817025,0.31769899050346717,0.0
2.46,-64.9936483858496,0.05296998129926736,0.5960864323565923,0.31769912804677236,0.0
2.47,-64.99363623861285,0.05297007245094976,0.5960862117871262,0.3176992656819868,0.0
2.48,-64.99362419137552,0.05297016295710284,0.5960859909777059,0.31769940340612934,0.0
2.49,-64.9936122439615,0.052970252818618335,0.5960857699327206,0.3176995412162292,0.0
2.5,-64.99360039619351,0.052970342036396625,0.5960855486565472,0.31769967910932595,0.0
2.5100000000000002,-64.99358864789318,0.05297043061134672,0.5960853271535502,0.31769981708246964,0.0
2.52,-64.99357699888091,0.05297051854438618,0.5960851054280817,0.3176999551327207,0.0
2.5300000000000002,-64.99356544897604,0.052970605836441066,0.5960848834844811,0.31770009325714993,0.0
2.54,-64.99355399799674,0.052970692488445874,0.5960846613270755,0.3177002314528386,0.0
2.5500000000000003,-64.99354264576006,0.05297077850134348,0.5960844389601795,0.3177003697168785,0.0
2.56,-64.99353139208195,0.052970863876085086,0.596084216388095,0.31770050804637173,0.0
2.57,-64.99352023677726,0.052970948613630164,0.5960839936151111,0.317700646438431,0.0
